Source URL,Product Name,Product Price,Product Score,Product_Image,Product Specifications_1,Product Specifications_2,Product Specifications_3,Product Specifications_4,Product Specifications_5,Product Specifications_6,Product Specifications_7,Product Specifications_8
https://www.zoomit.ir/product/list/mobile/,گلکسی A35 سامسونگ,"21,798,000",4.3,https://api2.zoomit.ir/media/67913d5b902ce99e63fe354d?w=1920&q=75,6.6 اینچ,1080x2340 پیکسل,50/8/5 مگاپیکسل,سلفی 13 مگاپیکسل,6/8 گیگابایت رم,Exynos 1380,5000 میلی‌آمپر ساعت,شارژ سریع 25 وات
https://www.zoomit.ir/product/list/mobile/,گلکسی A25 سامسونگ,"17,700,000",4,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAYABgAAD/2wCEAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDIBCQkJDAsMGA0NGDIhHCEyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMv/AABEIAAoACgMBIgACEQEDEQH/xAGiAAABBQEBAQEBAQAAAAAAAAAAAQIDBAUGBwgJCgsQAAIBAwMCBAMFBQQEAAABfQECAwAEEQUSITFBBhNRYQcicRQygZGhCCNCscEVUtHwJDNicoIJChYXGBkaJSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+gEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoLEQACAQIEBAMEBwUEBAABAncAAQIDEQQFITEGEkFRB2FxEyIygQgUQpGhscEJIzNS8BVictEKFiQ04SXxFxgZGiYnKCkqNTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqCg4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2dri4+Tl5ufo6ery8/T19vf4+fr/2gAMAwEAAhEDEQA/APVvFyq7WoY4G8V0sH/HvH/uj+Vcz4vRJDahzgbx3rpoOLeMf7I/lSW5EfiZ/9k=",6.5 اینچ,1080x2340 پیکسل,50/8/2 مگاپیکسل,سلفی 13 مگاپیکسل,/4/6/8 گیگابایت رم,Exynos 1280,5000 میلی‌آمپر ساعت,شارژ سریع 25 وات
https://www.zoomit.ir/product/list/mobile/,آیفون 15 پرو مکس اپل,"87,120,000",4.1,https://api2.zoomit.ir/media/652d21d1eb21a6b54f515a83?w=1920&q=75,6.7 اینچ , 1290x2796 پیکسل,48/12/12 مگاپیکسل , سلفی 12 مگاپیکسل,8 گیگابایت رم , A17 Pro,4422 میلی‌آمپر ساعت , لیتیوم‌ یونی
https://www.zoomit.ir/product/list/mobile/,گوشی اس 24 اف ای سامسونگ,"39,000,000",4.3,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAYABgAAD/2wCEAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDIBCQkJDAsMGA0NGDIhHCEyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMv/AABEIAAoACgMBIgACEQEDEQH/xAGiAAABBQEBAQEBAQAAAAAAAAAAAQIDBAUGBwgJCgsQAAIBAwMCBAMFBQQEAAABfQECAwAEEQUSITFBBhNRYQcicRQygZGhCCNCscEVUtHwJDNicoIJChYXGBkaJSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+gEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoLEQACAQIEBAMEBwUEBAABAncAAQIDEQQFITEGEkFRB2FxEyIygQgUQpGhscEJIzNS8BVictEKFiQ04SXxFxgZGiYnKCkqNTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqCg4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2dri4+Tl5ufo6ery8/T19vf4+fr/2gAMAwEAAhEDEQA/APSPE2oSW3iiyiVCVbGTXYpITGpx2FcX4pufK8VWKeVuBxz6V2cbfu1+XsKr7KJivfZ//9k=",6.7 اینچ,1080x2340 پیکسل,50/12/8 مگاپیکسل,سلفی 10 مگاپیکسل,8 گیگابایت رم,Exynos 2400e,4700 میلی‌آمپر ساعت,شارژ سریع 25 وات
https://www.zoomit.ir/product/list/mobile/,گلکسی اس 24 اولترا سامسونگ,"81,000,000",4.5,https://api2.zoomit.ir/media/65a52c15fd49184092c4626f?w=1920&q=75,6.8 اینچ,1440x3120 پیکسل,200/50/12/10 مگاپیکسل,سلفی 12 مگاپیکسل,12 گیگابایت رم,Snapdragon 8 Gen 3,5000 میلی‌آمپر ساعت,لیتیوم یونی
https://www.zoomit.ir/product/list/mobile/,پوکو X7 پرو شیائومی,"27,289,000",4.7,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAYABgAAD/2wCEAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDIBCQkJDAsMGA0NGDIhHCEyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMv/AABEIAAoACgMBIgACEQEDEQH/xAGiAAABBQEBAQEBAQAAAAAAAAAAAQIDBAUGBwgJCgsQAAIBAwMCBAMFBQQEAAABfQECAwAEEQUSITFBBhNRYQcicRQygZGhCCNCscEVUtHwJDNicoIJChYXGBkaJSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+gEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoLEQACAQIEBAMEBwUEBAABAncAAQIDEQQFITEGEkFRB2FxEyIygQgUQpGhscEJIzNS8BVictEKFiQ04SXxFxgZGiYnKCkqNTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqCg4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2dri4+Tl5ufo6ery8/T19vf4+fr/2gAMAwEAAhEDEQA/APatUcpNHj1rTQ5RfoKy9VbE0eRkZrTT/Vr9BTlshvY//9k=",6.67 اینچ,1220x2712 پیکسل,50/8 مگاپیکسل,سلفی 20 مگاپیکسل,8/12 گیگابایت رم,Dimensity 8400 Ultra,6000 میلی‌آمپر ساعت,سیلیکون کربن
https://www.zoomit.ir/product/list/mobile/,پوکو X6 شیائومی,"22,570,000",4,https://api2.zoomit.ir/media/65ef3d2ebd4454ff2d896cb3?w=1920&q=75,6.67 اینچ,1220x2712 پیکسل,64/8/2 مگاپیکسل,سلفی 16 مگاپیکسل,8/12 گیگابایت رم,Snapdragon 7s Gen 2,5100 میلی‌آمپر ساعت,شارژ سریع 67 وات
https://www.zoomit.ir/product/list/mobile/,آیفون 16 پرو اپل,"80,748,000",4.4,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAYABgAAD/2wCEAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDIBCQkJDAsMGA0NGDIhHCEyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMv/AABEIAAoACgMBIgACEQEDEQH/xAGiAAABBQEBAQEBAQAAAAAAAAAAAQIDBAUGBwgJCgsQAAIBAwMCBAMFBQQEAAABfQECAwAEEQUSITFBBhNRYQcicRQygZGhCCNCscEVUtHwJDNicoIJChYXGBkaJSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+gEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoLEQACAQIEBAMEBwUEBAABAncAAQIDEQQFITEGEkFRB2FxEyIygQgUQpGhscEJIzNS8BVictEKFiQ04SXxFxgZGiYnKCkqNTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqCg4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2dri4+Tl5ufo6ery8/T19vf4+fr/2gAMAwEAAhEDEQA/APadXcI8RPrWohzGp9hWRraxlovMGRn1rWjx5SY6YFZx3ZTvyo//2Q==",6.3 اینچ,1206x2622 پیکسل,48/48/12 مگاپیکسل,سلفی 12 مگاپیکسل,8 گیگابایت رم,A18 Pro,3582 میلی‌آمپر ساعت,لیتیوم‌ یونی
https://www.zoomit.ir/product/list/mobile/,گلکسی A56 سامسونگ,"28,250,000",3.9,https://api2.zoomit.ir/media/658c63b4df73096be8d6058a?w=1920&q=75,6.7 اینچ,1080x2340 پیکسل,50/12/5 مگاپیکسل,سلفی 12 مگاپیکسل,8/12 گیگابایت رم,Exynos 1580,5000 میلی‌آمپر ساعت,شارژ سریع 45 وات
https://www.zoomit.ir/product/list/mobile/,ردمی 12 شیائومی,"12,799,000",4.1,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQEAYABgAAD/2wCEAAgGBgcGBQgHBwcJCQgKDBQNDAsLDBkSEw8UHRofHh0aHBwgJC4nICIsIxwcKDcpLDAxNDQ0Hyc5PTgyPC4zNDIBCQkJDAsMGA0NGDIhHCEyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMjIyMv/AABEIAAoACgMBIgACEQEDEQH/xAGiAAABBQEBAQEBAQAAAAAAAAAAAQIDBAUGBwgJCgsQAAIBAwMCBAMFBQQEAAABfQECAwAEEQUSITFBBhNRYQcicRQygZGhCCNCscEVUtHwJDNicoIJChYXGBkaJSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+gEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoLEQACAQIEBAMEBwUEBAABAncAAQIDEQQFITEGEkFRB2FxEyIygQgUQpGhscEJIzNS8BVictEKFiQ04SXxFxgZGiYnKCkqNTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqCg4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2dri4+Tl5ufo6ery8/T19vf4+fr/2gAMAwEAAhEDEQA/AO7+IV9JaatpYjQtvlVT7V6BbnNvEfVB/KvPPiLcm31fSsRb90qj6V6HbnNtEf8AYH8qQz//2Q==",6.79 اینچ,1080x2460 پیکسل,50/8/2 مگاپیکسل,سلفی 8 مگاپیکسل,2/4/6/8 گیگابایت رم,Helio G88,5000 میلی آمپر ساعت,لیتیوم پلیمری
